id,name,city,city2,country,description,imageCredit,imageCreditLink,state,stateShort,nameEnglish,name2,city3,code
ARN,Stockholm-Arlanda flygplats,Stockholm,Arlanda,Sweden,"Stockholm’s airport is named *Ar*la*n*da, a made-up word combining “Arland”, another name for the nearby parish of Ärlinghundra, and “landa”, Swedish verb meaning “to land.”",Samuel Bietenholz,https://www.flickr.com/photos/sunnyshine80/,,,,,,
ART,Watertown International Airport,Watertown,,USA,"The FCC restricted U.S. airport codes from beginning with the letters ‘W’ and ‘K’, reserving them for radio station designations. Watertown International opted, then, to use other letters from W*a*te*rt*own.",Weatherman1126,https://en.wikipedia.org/wiki/File:Watertownaeroport.PNG,New York,NY,,,,
ASB,Ashgabat International Airport,Ashgabat,,Turkmenistan,"Opened in 1994 and formerly named after Saparmyrat Niyazov, Turkmenistan’s first President, Ashgabat International gets its airport code from the capital city of *As*hga*b*at.",Matthew Goulding,https://www.flickr.com/photos/12377708@N04/,,,,,,
ASE,Aspen–Pitkin County Airport,Aspen,,USA,"Officially dedicated in 1958, Aspen–Pitkin County Airport is also called Sardy Field, named after Commissioner Thomas J. Sardy. Its airport code comes from its home in the city of *As*p*e*n.",Harper Reed,https://www.flickr.com/photos/natatwo/,Colorado,CO,,,,
ASM,Asmara International Airport,Asmara,,Eritrea,"Formerly known as Yohannes IV Airport, Asmara International was nearly destroyed during World War II and was rebuilt in the 1950s. Its airport code comes from the capital city of *Asm*ara.",The Come Up Show,https://www.flickr.com/photos/thecomeupshow/,,,,,,
ASU,Aeropuerto Internacional Silvio Pettirossi,Asunción,Luque,Paraguay,"Silvio Pettirossi International is named after Silvio Pettirossi, local aviator and pioneer. Located in the city of Luque, its aiport code comes from the city it serves, *Asu*nción.",Stefan Krasowski,https://www.flickr.com/photos/rapidtravelchai/,,,Silvio Pettirossi,,,
ATA,Aeropuerto Comandante FAP Germán Arias Graziani,Huaraz,Anta,Peru,"Germán Arias Graziani Airport serves the city of Huaraz, but gets its three-letter code from the nearby village of *A*n*ta*.",WhatKnot,https://www.flickr.com/photos/whatknot/,Ancash,,Comandante FAP Germán Arias Graziani Airport,,,
ATH,"Athens International Airport, Eleftherios Venizelos",Athens,,Greece,Eleftherios Venizelos Airport is named after the Cretan political leader and Prime Minister of Greece who pushed the development of Greek aviation. Its airport code comes from the capital city of *Ath*ens.,Dinos,https://www.flickr.com/photos/netuser/,,,,,,
ATL,Hartsfield–Jackson International Airport,Atlanta,,USA,The Hartsfield-Jackson Airport honors former mayors Maynard Jackson and William B. Hartsfield. The airport code honors *Atl*anta and has become the city’s beloved nickname.,Jon Tan,https://www.flickr.com/photos/jontangerine/,Georgia,GA,,,,
ATQ,Sri Guru Ram Das Jee International Airport,Amritsar,,India,"Sri Guru Ram Das Jee International is named after Guru Ram Das, the fourth Sikh Guru and founder of the city of *A*mri*t*sar. Its code is completed by the letter ‘*Q*’, often used as a filler letter.",Jliptoid,https://www.flickr.com/photos/27629453@N06/,Punjab,PB,,,,
ATW,Appleton International Airport,Appleton,Greenville,USA,"Dedicated in 1965 and previously named Outagamie County Regional, Appleton International is located in the town of Greenville and serves the city of *A*pple*t*on, *W*isconsin.",Sean Bagley,https://www.flickr.com/photos/seanbagley/,Wisconsin,WI,,,,
AUA,Internationale luchthaven Koningin Beatrix,Oranjestad,,Netherlands,"Queen Beatrix International is named after Princess Beatrix of the Netherlands, former Queen and head of state. Located in the capital city of Oranjestad, it serves the island of *A*r*u*b*a*.",David Amundsen,https://www.flickr.com/photos/dmamundsen/,,Aruba,Queen Beatrix,,,
AUH,Abu Dhabi International Airport,Abu Dhabi,,United Arab Emirates,"In 1982, Abu Dhabi International replaced Al Bateen Airport as the primary airport for the city of *A*b*u* D*h*abi.",Marco Zanferrari,https://www.flickr.com/photos/tuttotutto/,,,,,,
ICY,,,,,,,,,,,,,
PPV,,,,,,,,,,,,,
KKK,,,,,,,,,,,,,
MHS,,,,,,,,,,,,,
